No_Faktur,Bulan_Pembelian,Nama_Mobil,Wilayah,Gender_Pembeli,Pekerjaan_Pembeli,Umur_Pembeli,Pendapatan_Bulanan_Juta
INV/2026/02828,Juni,Toyota Rush,Sumatera Utara (Medan),Pria,PNS,53,10.9
INV/2026/02829,Desember,Honda Brio,Jawa Timur (Surabaya),Wanita,PNS,30,14.6
INV/2026/02830,April,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Pria,PNS,33,9.6
INV/2026/02831,Januari,Honda HR-V,Sumatera Utara (Medan),Wanita,BUMN,32,24.6
INV/2026/02832,November,Mitsubishi Xpander,Jawa Timur (Surabaya),Pria,Karyawan Swasta,37,9.1
INV/2026/02833,Februari,Toyota Avanza,Jawa Timur (Surabaya),Wanita,Professional (Dokter/Pengacara),22,18.2
INV/2026/02834,Agustus,Mitsubishi Xpander,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),42,34.0
INV/2026/02835,Mei,Mitsubishi Xpander,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,51,22.4
INV/2026/02836,Maret,Toyota Avanza,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,34,21.6
INV/2026/02837,Juli,Daihatsu Sigra,Jawa Barat (Bandung),Wanita,Karyawan Swasta,55,32.9
INV/2026/02838,November,Toyota Rush,Jawa Timur (Surabaya),Wanita,BUMN,25,28.0
INV/2026/02839,September,Toyota Innova Zenix,Jawa Tengah (Semarang),Pria,Rumah Tangga,49,22.5
INV/2026/02840,Desember,Toyota Avanza,Sumatera Utara (Medan),Pria,Rumah Tangga,59,15.5
INV/2026/02841,Mei,Honda Brio,Sumatera Utara (Medan),Pria,BUMN,52,17.8
INV/2026/02842,Desember,Honda Brio,Sulawesi Selatan (Makassar),Pria,PNS,48,17.4
INV/2026/02843,Februari,Toyota Rush,DKI Jakarta,Wanita,Pengusaha,26,14.8
INV/2026/02844,November,Honda Brio,Jawa Timur (Surabaya),Pria,PNS,46,19.7
INV/2026/02845,Mei,Daihatsu Sigra,Jawa Timur (Surabaya),Wanita,BUMN,24,20.8
INV/2026/02846,Juni,Toyota Rush,DKI Jakarta,Pria,BUMN,54,8.0
INV/2026/02847,Oktober,Toyota Avanza,DKI Jakarta,Pria,PNS,25,31.1
INV/2026/02848,April,Daihatsu Sigra,Sumatera Utara (Medan),Pria,Pengusaha,46,21.3
INV/2026/02849,April,Honda Brio,Jawa Tengah (Semarang),Wanita,Karyawan Swasta,41,15.9
INV/2026/02850,Maret,Mitsubishi Xpander,Sumatera Utara (Medan),Wanita,PNS,55,19.8
INV/2026/02851,Agustus,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,Professional (Dokter/Pengacara),47,25.4
INV/2026/02852,Maret,Daihatsu Sigra,Jawa Barat (Bandung),Wanita,Professional (Dokter/Pengacara),26,6.3
INV/2026/02853,Agustus,Honda HR-V,DKI Jakarta,Pria,Rumah Tangga,56,17.2
INV/2026/02854,Desember,Honda Brio,Sulawesi Selatan (Makassar),Wanita,PNS,49,8.5
INV/2026/02855,Oktober,Honda Brio,DKI Jakarta,Pria,Rumah Tangga,50,39.3
INV/2026/02856,Juni,Honda Brio,Sulawesi Selatan (Makassar),Wanita,BUMN,30,19.1
INV/2026/02857,Juli,Honda Brio,Jawa Timur (Surabaya),Pria,BUMN,59,8.6
INV/2026/02858,Desember,Toyota Avanza,Jawa Tengah (Semarang),Pria,Professional (Dokter/Pengacara),27,46.8
INV/2026/02859,September,Daihatsu Sigra,Jawa Barat (Bandung),Pria,Professional (Dokter/Pengacara),40,13.7
INV/2026/02860,Agustus,Daihatsu Sigra,Jawa Timur (Surabaya),Wanita,Professional (Dokter/Pengacara),32,16.3
INV/2026/02861,September,Toyota Avanza,Sumatera Utara (Medan),Pria,Professional (Dokter/Pengacara),23,16.9
INV/2026/02862,November,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Pria,Karyawan Swasta,30,11.2
INV/2026/02863,April,Daihatsu Sigra,Jawa Tengah (Semarang),Wanita,PNS,42,20.0
INV/2026/02864,April,Toyota Innova Zenix,Jawa Tengah (Semarang),Pria,Professional (Dokter/Pengacara),45,4.0
INV/2026/02865,November,Daihatsu Sigra,Sumatera Utara (Medan),Pria,PNS,55,26.7
INV/2026/02866,Oktober,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,Pengusaha,43,9.0
INV/2026/02867,Februari,Daihatsu Sigra,Sumatera Utara (Medan),Pria,Karyawan Swasta,24,14.7
INV/2026/02868,September,Toyota Rush,Jawa Tengah (Semarang),Pria,PNS,33,24.0
INV/2026/02869,Agustus,Toyota Rush,Jawa Barat (Bandung),Pria,PNS,49,16.4
INV/2026/02870,September,Mitsubishi Xpander,DKI Jakarta,Wanita,Professional (Dokter/Pengacara),51,16.7
INV/2026/02871,Desember,Toyota Avanza,Jawa Tengah (Semarang),Pria,PNS,47,9.9
INV/2026/02872,Juni,Mitsubishi Xpander,Jawa Timur (Surabaya),Pria,Professional (Dokter/Pengacara),42,34.8
INV/2026/02873,Februari,Mitsubishi Xpander,DKI Jakarta,Wanita,Professional (Dokter/Pengacara),49,22.3
INV/2026/02874,Oktober,Toyota Avanza,Jawa Tengah (Semarang),Pria,PNS,47,9.3
INV/2026/02875,Februari,Honda HR-V,Jawa Timur (Surabaya),Pria,BUMN,54,19.4
INV/2026/02876,Januari,Toyota Innova Zenix,DKI Jakarta,Wanita,Karyawan Swasta,42,8.8
INV/2026/02877,September,Toyota Avanza,Jawa Tengah (Semarang),Pria,BUMN,56,31.8
INV/2026/02878,September,Mitsubishi Xpander,Jawa Timur (Surabaya),Wanita,Professional (Dokter/Pengacara),55,19.6
INV/2026/02879,April,Toyota Rush,Jawa Tengah (Semarang),Pria,PNS,62,10.2
INV/2026/02880,Oktober,Toyota Avanza,Sumatera Utara (Medan),Wanita,PNS,39,23.6
INV/2026/02881,September,Honda HR-V,Jawa Barat (Bandung),Wanita,Pengusaha,32,15.8
INV/2026/02882,Maret,Daihatsu Sigra,Sulawesi Selatan (Makassar),Pria,Pengusaha,44,7.7
INV/2026/02883,Maret,Toyota Rush,Sumatera Utara (Medan),Pria,BUMN,43,21.0
INV/2026/02884,Juni,Daihatsu Sigra,Sumatera Utara (Medan),Pria,BUMN,38,20.8
INV/2026/02885,September,Toyota Innova Zenix,Jawa Tengah (Semarang),Pria,Karyawan Swasta,26,27.1
INV/2026/02886,Agustus,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Wanita,Professional (Dokter/Pengacara),32,18.5
INV/2026/02887,Februari,Toyota Avanza,DKI Jakarta,Wanita,Pengusaha,51,18.9
INV/2026/02888,November,Toyota Avanza,Jawa Timur (Surabaya),Wanita,Pengusaha,36,19.3
INV/2026/02889,April,Toyota Avanza,Sumatera Utara (Medan),Pria,PNS,48,30.8
INV/2026/02890,Desember,Honda Brio,Sumatera Utara (Medan),Wanita,PNS,56,15.5
INV/2026/02891,Oktober,Mitsubishi Xpander,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),54,21.8
INV/2026/02892,Agustus,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,Professional (Dokter/Pengacara),41,22.9
INV/2026/02893,Februari,Honda HR-V,DKI Jakarta,Wanita,Pengusaha,37,20.8
INV/2026/02894,September,Toyota Innova Zenix,Jawa Tengah (Semarang),Wanita,Rumah Tangga,55,15.2
INV/2026/02895,Agustus,Daihatsu Sigra,Sumatera Utara (Medan),Wanita,Pengusaha,23,19.0
INV/2026/02896,Januari,Honda HR-V,Jawa Timur (Surabaya),Wanita,Professional (Dokter/Pengacara),56,17.3
INV/2026/02897,Agustus,Honda HR-V,Sulawesi Selatan (Makassar),Pria,PNS,61,33.7
INV/2026/02898,Maret,Honda HR-V,Jawa Barat (Bandung),Wanita,Rumah Tangga,49,14.3
INV/2026/02899,September,Daihatsu Sigra,Jawa Tengah (Semarang),Wanita,PNS,60,10.7
INV/2026/02900,Juli,Daihatsu Sigra,Jawa Barat (Bandung),Pria,Karyawan Swasta,27,18.0
INV/2026/02901,Agustus,Toyota Rush,Sulawesi Selatan (Makassar),Wanita,Karyawan Swasta,30,17.4
INV/2026/02902,Oktober,Daihatsu Sigra,Sulawesi Selatan (Makassar),Pria,Professional (Dokter/Pengacara),41,19.6
INV/2026/02903,Januari,Mitsubishi Xpander,Jawa Tengah (Semarang),Wanita,Rumah Tangga,22,14.3
INV/2026/02904,September,Honda Brio,Sulawesi Selatan (Makassar),Pria,PNS,29,18.9
INV/2026/02905,Agustus,Honda HR-V,DKI Jakarta,Pria,BUMN,44,19.0
INV/2026/02906,November,Daihatsu Sigra,Jawa Barat (Bandung),Pria,BUMN,24,25.2
INV/2026/02907,Mei,Toyota Innova Zenix,Sumatera Utara (Medan),Pria,PNS,25,18.7
INV/2026/02908,Desember,Toyota Avanza,DKI Jakarta,Pria,Pengusaha,46,18.8
INV/2026/02909,Januari,Toyota Avanza,Jawa Timur (Surabaya),Pria,Karyawan Swasta,59,22.1
INV/2026/02910,Juli,Toyota Rush,Jawa Tengah (Semarang),Wanita,Karyawan Swasta,36,24.9
INV/2026/02911,Mei,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Pria,Rumah Tangga,42,10.1
INV/2026/02912,Januari,Toyota Innova Zenix,Sumatera Utara (Medan),Pria,Rumah Tangga,56,8.0
INV/2026/02913,Desember,Toyota Innova Zenix,Jawa Barat (Bandung),Wanita,Professional (Dokter/Pengacara),35,31.6
INV/2026/02914,April,Honda Brio,Sumatera Utara (Medan),Pria,Pengusaha,57,23.6
INV/2026/02915,Oktober,Toyota Rush,DKI Jakarta,Wanita,Pengusaha,33,16.2
INV/2026/02916,Februari,Toyota Avanza,Sumatera Utara (Medan),Wanita,Karyawan Swasta,38,18.2
INV/2026/02917,Januari,Toyota Rush,Jawa Tengah (Semarang),Wanita,Pengusaha,60,14.9
INV/2026/02918,Juli,Honda Brio,Sulawesi Selatan (Makassar),Wanita,Pengusaha,30,19.7
INV/2026/02919,Juni,Toyota Rush,Jawa Barat (Bandung),Wanita,PNS,56,10.2
INV/2026/02920,Desember,Daihatsu Sigra,Jawa Barat (Bandung),Wanita,Pengusaha,34,24.7
INV/2026/02921,Februari,Toyota Avanza,Jawa Barat (Bandung),Pria,Professional (Dokter/Pengacara),36,19.4
INV/2026/02922,September,Toyota Innova Zenix,Jawa Barat (Bandung),Pria,Professional (Dokter/Pengacara),39,19.7
INV/2026/02923,Januari,Honda Brio,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),54,10.8
INV/2026/02924,Februari,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,Rumah Tangga,27,22.2
INV/2026/02925,Agustus,Toyota Avanza,DKI Jakarta,Pria,Rumah Tangga,48,11.0
INV/2026/02926,Januari,Honda HR-V,DKI Jakarta,Wanita,Professional (Dokter/Pengacara),44,12.5
INV/2026/02927,Mei,Toyota Rush,Sumatera Utara (Medan),Pria,PNS,48,18.7
INV/2026/02928,Juli,Toyota Innova Zenix,Jawa Tengah (Semarang),Pria,Professional (Dokter/Pengacara),55,38.1
INV/2026/02929,Maret,Toyota Innova Zenix,DKI Jakarta,Pria,Pengusaha,59,19.4
INV/2026/02930,Maret,Daihatsu Sigra,Jawa Barat (Bandung),Wanita,PNS,35,4.0
INV/2026/02931,November,Honda Brio,Jawa Timur (Surabaya),Wanita,BUMN,57,12.9
INV/2026/02932,Desember,Daihatsu Sigra,Sumatera Utara (Medan),Pria,Karyawan Swasta,29,23.5
INV/2026/02933,November,Mitsubishi Xpander,Jawa Timur (Surabaya),Pria,Professional (Dokter/Pengacara),56,9.0
INV/2026/02934,Juli,Honda HR-V,Jawa Barat (Bandung),Pria,Karyawan Swasta,40,24.6
INV/2026/02935,Juni,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,Karyawan Swasta,51,19.3
INV/2026/02936,Juli,Daihatsu Sigra,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,35,25.9
INV/2026/02937,Agustus,Toyota Avanza,Jawa Tengah (Semarang),Pria,Pengusaha,41,13.5
INV/2026/02938,Juli,Toyota Avanza,Sumatera Utara (Medan),Pria,PNS,46,12.9
INV/2026/02939,Juli,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Rumah Tangga,61,22.5
INV/2026/02940,Februari,Honda HR-V,DKI Jakarta,Pria,Karyawan Swasta,45,17.9
INV/2026/02941,November,Honda HR-V,Jawa Tengah (Semarang),Wanita,Karyawan Swasta,35,17.5
INV/2026/02942,November,Daihatsu Sigra,Jawa Barat (Bandung),Wanita,PNS,47,30.6
INV/2026/02943,September,Toyota Avanza,Sulawesi Selatan (Makassar),Wanita,BUMN,59,22.8
INV/2026/02944,Maret,Honda Brio,Jawa Tengah (Semarang),Pria,PNS,44,4.0
INV/2026/02945,November,Honda HR-V,Jawa Tengah (Semarang),Wanita,BUMN,43,24.4
INV/2026/02946,Juni,Honda HR-V,Sumatera Utara (Medan),Pria,BUMN,40,23.6
INV/2026/02947,Februari,Daihatsu Sigra,DKI Jakarta,Pria,Rumah Tangga,24,27.5
INV/2026/02948,Maret,Toyota Rush,Jawa Tengah (Semarang),Pria,Professional (Dokter/Pengacara),63,10.5
INV/2026/02949,September,Honda HR-V,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,40,20.6
INV/2026/02950,Juli,Toyota Innova Zenix,Jawa Barat (Bandung),Pria,Karyawan Swasta,30,18.9
INV/2026/02951,September,Honda Brio,Sulawesi Selatan (Makassar),Pria,BUMN,49,10.3
INV/2026/02952,Maret,Daihatsu Sigra,Sulawesi Selatan (Makassar),Pria,Karyawan Swasta,41,25.6
INV/2026/02953,Desember,Toyota Rush,DKI Jakarta,Wanita,Karyawan Swasta,28,16.1
INV/2026/02954,April,Toyota Innova Zenix,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),35,27.2
INV/2026/02955,Januari,Toyota Innova Zenix,Jawa Timur (Surabaya),Pria,BUMN,30,12.1
INV/2026/02956,Januari,Daihatsu Sigra,Sumatera Utara (Medan),Wanita,BUMN,40,6.3
INV/2026/02957,Mei,Daihatsu Sigra,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),35,16.1
INV/2026/02958,Agustus,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Professional (Dokter/Pengacara),59,19.9
INV/2026/02959,November,Toyota Innova Zenix,Jawa Tengah (Semarang),Pria,Rumah Tangga,57,13.7
INV/2026/02960,Desember,Mitsubishi Xpander,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),61,4.0
INV/2026/02961,September,Daihatsu Sigra,Sumatera Utara (Medan),Wanita,BUMN,38,21.1
INV/2026/02962,Juli,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Pengusaha,51,21.0
INV/2026/02963,September,Honda Brio,Jawa Tengah (Semarang),Wanita,Pengusaha,30,23.5
INV/2026/02964,Juli,Daihatsu Sigra,Sulawesi Selatan (Makassar),Pria,Karyawan Swasta,54,15.0
INV/2026/02965,April,Honda HR-V,Sumatera Utara (Medan),Pria,Pengusaha,46,14.5
INV/2026/02966,April,Honda HR-V,Jawa Barat (Bandung),Pria,BUMN,35,29.5
INV/2026/02967,Agustus,Honda Brio,Jawa Barat (Bandung),Pria,BUMN,32,5.4
INV/2026/02968,Juni,Honda Brio,Jawa Timur (Surabaya),Wanita,PNS,56,16.0
INV/2026/02969,Maret,Toyota Rush,DKI Jakarta,Wanita,Professional (Dokter/Pengacara),62,19.1
INV/2026/02970,Mei,Mitsubishi Xpander,Jawa Timur (Surabaya),Pria,Karyawan Swasta,35,22.8
INV/2026/02971,April,Daihatsu Sigra,DKI Jakarta,Wanita,PNS,51,19.4
INV/2026/02972,Desember,Mitsubishi Xpander,DKI Jakarta,Pria,Professional (Dokter/Pengacara),62,10.6
INV/2026/02973,Februari,Honda HR-V,DKI Jakarta,Pria,Pengusaha,25,27.3
INV/2026/02974,Januari,Toyota Innova Zenix,Jawa Timur (Surabaya),Wanita,Rumah Tangga,25,18.0
INV/2026/02975,November,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,Professional (Dokter/Pengacara),49,4.7
INV/2026/02976,Juli,Toyota Avanza,Sulawesi Selatan (Makassar),Pria,PNS,29,19.7
INV/2026/02977,Oktober,Toyota Avanza,Jawa Barat (Bandung),Wanita,Pengusaha,23,21.8
INV/2026/02978,Januari,Toyota Avanza,Jawa Tengah (Semarang),Pria,Rumah Tangga,62,33.7
INV/2026/02979,April,Honda Brio,DKI Jakarta,Pria,Professional (Dokter/Pengacara),43,21.3
INV/2026/02980,April,Honda HR-V,Sulawesi Selatan (Makassar),Pria,Karyawan Swasta,62,6.1
INV/2026/02981,Februari,Toyota Rush,Jawa Timur (Surabaya),Wanita,Pengusaha,37,6.4
INV/2026/02982,Februari,Toyota Avanza,Jawa Barat (Bandung),Pria,Rumah Tangga,50,28.1
INV/2026/02983,Oktober,Honda HR-V,Jawa Timur (Surabaya),Pria,Karyawan Swasta,51,11.6
INV/2026/02984,Januari,Toyota Rush,Sumatera Utara (Medan),Wanita,Pengusaha,33,5.6
INV/2026/02985,Agustus,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Wanita,Karyawan Swasta,56,26.0
INV/2026/02986,Oktober,Toyota Rush,Jawa Tengah (Semarang),Pria,Pengusaha,32,14.2
INV/2026/02987,November,Daihatsu Sigra,DKI Jakarta,Pria,BUMN,42,25.6
INV/2026/02988,Desember,Honda Brio,Jawa Timur (Surabaya),Pria,PNS,42,10.7
INV/2026/02989,Januari,Honda Brio,DKI Jakarta,Pria,Pengusaha,26,29.8
INV/2026/02990,April,Toyota Avanza,Sulawesi Selatan (Makassar),Pria,Rumah Tangga,41,25.0
INV/2026/02991,Desember,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Wanita,Professional (Dokter/Pengacara),58,12.2
INV/2026/02992,Januari,Toyota Innova Zenix,Jawa Barat (Bandung),Pria,PNS,24,4.7
INV/2026/02993,Juli,Daihatsu Sigra,Sumatera Utara (Medan),Pria,Pengusaha,54,36.4
INV/2026/02994,Agustus,Toyota Rush,Sumatera Utara (Medan),Wanita,Professional (Dokter/Pengacara),30,16.3
INV/2026/02995,April,Honda HR-V,Jawa Timur (Surabaya),Pria,PNS,30,11.9
INV/2026/02996,September,Mitsubishi Xpander,Jawa Timur (Surabaya),Pria,Rumah Tangga,25,29.1
INV/2026/02997,April,Toyota Avanza,Jawa Tengah (Semarang),Pria,BUMN,56,25.6
INV/2026/02998,Januari,Honda HR-V,Jawa Barat (Bandung),Pria,Rumah Tangga,38,27.5
INV/2026/02999,Maret,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Pria,Professional (Dokter/Pengacara),55,17.2
INV/2026/03000,September,Honda HR-V,Jawa Tengah (Semarang),Wanita,BUMN,45,33.0
INV/2026/03001,Mei,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Wanita,Karyawan Swasta,53,7.5
INV/2026/03002,April,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Wanita,Professional (Dokter/Pengacara),22,13.6
INV/2026/03003,Desember,Toyota Rush,Jawa Barat (Bandung),Wanita,BUMN,29,21.1
INV/2026/03004,Oktober,Toyota Avanza,DKI Jakarta,Wanita,PNS,44,27.3
INV/2026/03005,Juni,Toyota Innova Zenix,Sumatera Utara (Medan),Pria,Rumah Tangga,61,23.3
INV/2026/03006,Oktober,Toyota Innova Zenix,DKI Jakarta,Wanita,Pengusaha,33,17.3
INV/2026/03007,Oktober,Daihatsu Sigra,Sulawesi Selatan (Makassar),Wanita,PNS,33,14.2
INV/2026/03008,November,Daihatsu Sigra,Sumatera Utara (Medan),Wanita,PNS,36,27.4
INV/2026/03009,Juni,Toyota Innova Zenix,Jawa Timur (Surabaya),Wanita,BUMN,62,24.1
INV/2026/03010,April,Toyota Rush,Jawa Barat (Bandung),Wanita,Pengusaha,40,11.0
INV/2026/03011,Mei,Toyota Avanza,Jawa Timur (Surabaya),Pria,PNS,47,10.8
INV/2026/03012,Maret,Toyota Avanza,Jawa Barat (Bandung),Wanita,Pengusaha,50,13.6
INV/2026/03013,November,Honda HR-V,Sumatera Utara (Medan),Wanita,Karyawan Swasta,43,12.6
INV/2026/03014,September,Toyota Innova Zenix,Jawa Tengah (Semarang),Pria,Rumah Tangga,61,26.2
INV/2026/03015,April,Toyota Innova Zenix,Sumatera Utara (Medan),Pria,BUMN,42,21.5
INV/2026/03016,Juli,Honda Brio,Jawa Barat (Bandung),Wanita,Rumah Tangga,59,22.5
INV/2026/03017,Mei,Honda HR-V,Sulawesi Selatan (Makassar),Pria,Pengusaha,41,19.5
INV/2026/03018,Mei,Daihatsu Sigra,Jawa Timur (Surabaya),Wanita,BUMN,50,19.9
INV/2026/03019,Januari,Daihatsu Sigra,Jawa Barat (Bandung),Wanita,PNS,25,5.3
INV/2026/03020,September,Toyota Avanza,Jawa Tengah (Semarang),Pria,PNS,28,24.4
INV/2026/03021,Oktober,Toyota Rush,Jawa Tengah (Semarang),Wanita,PNS,49,13.5
INV/2026/03022,Desember,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,PNS,49,17.7
INV/2026/03023,Maret,Mitsubishi Xpander,DKI Jakarta,Wanita,Karyawan Swasta,25,14.2
INV/2026/03024,November,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Wanita,Karyawan Swasta,43,19.2
INV/2026/03025,November,Toyota Rush,Jawa Timur (Surabaya),Pria,Rumah Tangga,33,22.6
INV/2026/03026,Juli,Toyota Innova Zenix,Jawa Timur (Surabaya),Pria,Professional (Dokter/Pengacara),24,9.9
INV/2026/03027,September,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,PNS,43,20.0
INV/2026/03028,Agustus,Honda Brio,Jawa Tengah (Semarang),Wanita,PNS,23,14.4
INV/2026/03029,Januari,Honda Brio,DKI Jakarta,Pria,Rumah Tangga,45,28.6
INV/2026/03030,Juni,Toyota Rush,Jawa Timur (Surabaya),Wanita,PNS,55,9.1
INV/2026/03031,November,Toyota Avanza,Jawa Tengah (Semarang),Pria,PNS,48,10.0
INV/2026/03032,November,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,Rumah Tangga,62,15.1
INV/2026/03033,Juli,Mitsubishi Xpander,Sumatera Utara (Medan),Pria,Professional (Dokter/Pengacara),22,10.6
INV/2026/03034,September,Honda Brio,Jawa Tengah (Semarang),Wanita,PNS,29,16.2
INV/2026/03035,Juni,Mitsubishi Xpander,Jawa Barat (Bandung),Wanita,Rumah Tangga,44,13.8
INV/2026/03036,Desember,Honda HR-V,Sumatera Utara (Medan),Wanita,Pengusaha,59,18.7
INV/2026/03037,Juli,Honda Brio,Jawa Timur (Surabaya),Wanita,Pengusaha,27,26.1
INV/2026/03038,Juli,Toyota Rush,Jawa Tengah (Semarang),Wanita,Karyawan Swasta,43,18.6
INV/2026/03039,Maret,Daihatsu Sigra,Sumatera Utara (Medan),Wanita,Karyawan Swasta,46,19.3
INV/2026/03040,Mei,Toyota Innova Zenix,DKI Jakarta,Wanita,Pengusaha,39,9.5
INV/2026/03041,Juli,Honda Brio,Jawa Timur (Surabaya),Wanita,Pengusaha,38,16.9
INV/2026/03042,Maret,Toyota Rush,Jawa Barat (Bandung),Wanita,Pengusaha,33,14.6
INV/2026/03043,September,Toyota Rush,Jawa Tengah (Semarang),Wanita,Rumah Tangga,27,23.5
INV/2026/03044,Agustus,Honda Brio,Jawa Barat (Bandung),Wanita,Professional (Dokter/Pengacara),47,11.9
INV/2026/03045,April,Honda HR-V,Jawa Tengah (Semarang),Wanita,PNS,48,11.1
INV/2026/03046,April,Toyota Avanza,Jawa Barat (Bandung),Pria,BUMN,29,20.5
INV/2026/03047,Mei,Toyota Rush,Jawa Tengah (Semarang),Pria,BUMN,40,33.8
INV/2026/03048,Desember,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Rumah Tangga,63,16.6
INV/2026/03049,Maret,Toyota Innova Zenix,DKI Jakarta,Pria,Rumah Tangga,22,19.3
INV/2026/03050,Agustus,Daihatsu Sigra,Jawa Barat (Bandung),Pria,Professional (Dokter/Pengacara),50,25.6
INV/2026/03051,Januari,Honda HR-V,Sumatera Utara (Medan),Pria,Rumah Tangga,56,22.1
INV/2026/03052,September,Honda HR-V,Jawa Tengah (Semarang),Wanita,BUMN,61,22.1
INV/2026/03053,Juli,Toyota Innova Zenix,Sumatera Utara (Medan),Wanita,Rumah Tangga,35,17.2
INV/2026/03054,Juli,Daihatsu Sigra,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,56,17.4
INV/2026/03055,September,Daihatsu Sigra,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),41,12.0
INV/2026/03056,September,Toyota Avanza,Jawa Barat (Bandung),Wanita,Professional (Dokter/Pengacara),34,21.9
INV/2026/03057,Maret,Mitsubishi Xpander,DKI Jakarta,Pria,Professional (Dokter/Pengacara),59,21.7
INV/2026/03058,Juli,Daihatsu Sigra,Sulawesi Selatan (Makassar),Wanita,Pengusaha,29,23.7
INV/2026/03059,April,Honda HR-V,Sumatera Utara (Medan),Pria,Pengusaha,64,14.1
INV/2026/03060,Mei,Toyota Innova Zenix,Jawa Timur (Surabaya),Wanita,Rumah Tangga,41,24.6
INV/2026/03061,April,Toyota Rush,Sumatera Utara (Medan),Pria,PNS,54,27.1
INV/2026/03062,Juni,Toyota Rush,Jawa Tengah (Semarang),Wanita,Rumah Tangga,47,8.3
INV/2026/03063,November,Toyota Innova Zenix,Sumatera Utara (Medan),Wanita,Rumah Tangga,60,15.6
INV/2026/03064,Februari,Toyota Avanza,Jawa Timur (Surabaya),Wanita,Rumah Tangga,42,27.4
INV/2026/03065,Agustus,Mitsubishi Xpander,Sumatera Utara (Medan),Pria,Rumah Tangga,63,12.8
INV/2026/03066,Juni,Toyota Innova Zenix,Sumatera Utara (Medan),Pria,Pengusaha,64,22.2
INV/2026/03067,Februari,Toyota Rush,DKI Jakarta,Pria,Professional (Dokter/Pengacara),62,18.1
INV/2026/03068,September,Toyota Avanza,Sulawesi Selatan (Makassar),Wanita,Pengusaha,30,20.6
INV/2026/03069,Desember,Toyota Innova Zenix,Jawa Tengah (Semarang),Pria,Karyawan Swasta,45,18.3
INV/2026/03070,April,Honda Brio,Jawa Timur (Surabaya),Wanita,Pengusaha,58,24.0
INV/2026/03071,Januari,Honda HR-V,Jawa Timur (Surabaya),Wanita,BUMN,62,9.8
INV/2026/03072,Mei,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,BUMN,38,10.7
INV/2026/03073,Juli,Toyota Rush,Jawa Barat (Bandung),Wanita,Professional (Dokter/Pengacara),45,29.7
INV/2026/03074,November,Mitsubishi Xpander,Jawa Tengah (Semarang),Pria,Rumah Tangga,42,34.8
INV/2026/03075,Oktober,Daihatsu Sigra,Sulawesi Selatan (Makassar),Pria,Pengusaha,60,18.0
INV/2026/03076,Oktober,Daihatsu Sigra,Sumatera Utara (Medan),Wanita,Karyawan Swasta,62,31.7
INV/2026/03077,Januari,Honda Brio,DKI Jakarta,Pria,Professional (Dokter/Pengacara),60,11.8
INV/2026/03078,Februari,Mitsubishi Xpander,Jawa Barat (Bandung),Wanita,PNS,34,13.7
INV/2026/03079,April,Daihatsu Sigra,Jawa Timur (Surabaya),Pria,Rumah Tangga,32,29.7
INV/2026/03080,Oktober,Toyota Avanza,Sulawesi Selatan (Makassar),Wanita,Karyawan Swasta,40,24.4
INV/2026/03081,Desember,Toyota Rush,DKI Jakarta,Pria,Rumah Tangga,32,30.9
INV/2026/03082,November,Toyota Rush,Jawa Tengah (Semarang),Pria,BUMN,34,21.7
INV/2026/03083,September,Toyota Rush,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,22,9.9
